timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1708944571738,82,GET Single User,200,OK,Worload Config 1-80,text,true,,1186,96,1,1,https://reqres.in/api/users/2,82,0,52
1708944571820,383,POST Register,201,Created,Worload Config 1-80,text,true,,901,204,1,1,https://reqres.in/api/users,383,0,0
1708944572239,102,GET Single User,200,OK,Worload Config 1-81,text,true,,1186,96,1,1,https://reqres.in/api/users/2,102,0,64
1708944572341,382,POST Register,201,Created,Worload Config 1-81,text,true,,901,204,1,1,https://reqres.in/api/users,382,0,0
1708944572737,90,GET Single User,200,OK,Worload Config 1-82,text,true,,1178,96,1,1,https://reqres.in/api/users/2,90,0,60
1708944572828,385,POST Register,201,Created,Worload Config 1-82,text,true,,893,204,1,1,https://reqres.in/api/users,385,0,0
1708944573239,98,GET Single User,200,OK,Worload Config 1-83,text,true,,1178,96,1,1,https://reqres.in/api/users/2,98,0,56
1708944573338,387,POST Register,201,Created,Worload Config 1-83,text,true,,893,204,1,1,https://reqres.in/api/users,387,0,0
1708944573736,87,GET Single User,200,OK,Worload Config 1-84,text,true,,1178,96,1,1,https://reqres.in/api/users/2,87,0,55
1708944573824,395,POST Register,201,Created,Worload Config 1-84,text,true,,901,204,1,1,https://reqres.in/api/users,395,0,0
1708944574237,89,GET Single User,200,OK,Worload Config 1-85,text,true,,1186,96,1,1,https://reqres.in/api/users/2,89,0,57
1708944574327,385,POST Register,201,Created,Worload Config 1-85,text,true,,901,204,1,1,https://reqres.in/api/users,385,0,0
1708944574738,100,GET Single User,200,OK,Worload Config 1-86,text,true,,1186,96,1,1,https://reqres.in/api/users/2,100,0,66
1708944574838,379,POST Register,201,Created,Worload Config 1-86,text,true,,897,204,1,1,https://reqres.in/api/users,379,0,0
1708944575239,94,GET Single User,200,OK,Worload Config 1-87,text,true,,1178,96,1,1,https://reqres.in/api/users/2,94,0,61
1708944575334,401,POST Register,201,Created,Worload Config 1-87,text,true,,897,204,1,1,https://reqres.in/api/users,401,0,0
1708944575739,120,GET Single User,200,OK,Worload Config 1-88,text,true,,1186,96,1,1,https://reqres.in/api/users/2,120,0,75
1708944575860,418,POST Register,201,Created,Worload Config 1-88,text,true,,897,204,2,2,https://reqres.in/api/users,418,0,0
1708944576238,126,GET Single User,200,OK,Worload Config 1-89,text,true,,1186,96,1,1,https://reqres.in/api/users/2,126,0,93
1708944576365,383,POST Register,201,Created,Worload Config 1-89,text,true,,897,204,2,2,https://reqres.in/api/users,383,0,0
1708944576737,110,GET Single User,200,OK,Worload Config 1-90,text,true,,1178,96,1,1,https://reqres.in/api/users/2,110,0,51
1708944576847,385,POST Register,201,Created,Worload Config 1-90,text,true,,897,204,1,1,https://reqres.in/api/users,385,0,0
1708944577236,92,GET Single User,200,OK,Worload Config 1-91,text,true,,1186,96,1,1,https://reqres.in/api/users/2,92,0,51
1708944577328,382,POST Register,201,Created,Worload Config 1-91,text,true,,897,204,1,1,https://reqres.in/api/users,382,0,0
1708944577738,101,GET Single User,200,OK,Worload Config 1-92,text,true,,1186,96,1,1,https://reqres.in/api/users/2,101,0,65
1708944577839,383,POST Register,201,Created,Worload Config 1-92,text,true,,897,204,1,1,https://reqres.in/api/users,383,0,0
1708944578238,113,GET Single User,200,OK,Worload Config 1-93,text,true,,1178,96,1,1,https://reqres.in/api/users/2,113,0,68
1708944578351,383,POST Register,201,Created,Worload Config 1-93,text,true,,896,204,1,1,https://reqres.in/api/users,383,0,0
1708944578737,90,GET Single User,200,OK,Worload Config 1-94,text,true,,1186,96,1,1,https://reqres.in/api/users/2,90,0,54
1708944578828,398,POST Register,201,Created,Worload Config 1-94,text,true,,905,204,1,1,https://reqres.in/api/users,397,0,0
